trip_id,participant_id
395,1355
68,16001
194,18223
5,13611
241,1126
135,18327
25,6426
274,6802
150,6197
395,446
223,994
402,8115
163,11629
194,8752
369,2522
198,14751
465,6071
27,257
223,18460
61,4843
87,3373
287,17199
10,6979
339,4721
224,7129
33,477
44,8164
412,16684
286,1611
287,13378
83,19741
329,12357
326,13408
88,19873
77,6371
61,18720
54,5380
92,13160
216,14481
181,12249
177,7268
478,17738
100,15476
336,6806
381,10532
245,19554
389,16637
253,7762
154,13056
274,7829
315,3202
283,11194
458,4518
59,8363
447,14907
290,10291
311,18937
102,17928
216,19287
109,18166
106,1173
395,8017
458,18219
189,8555
233,5066
265,18828
428,12270
315,8253
401,4531
61,4071
414,8862
377,11262
385,16845
178,12369
62,18477
249,16732
14,9626
452,18310
382,3233
403,16467
302,337
80,19333
21,3169
270,2633
273,2753
438,8335
19,15030
332,4466
291,8799
284,17498
453,6719
34,17179
34,139
19,16022
344,826
451,11803
351,16035
127,16235
246,8175
422,6598
294,16464
424,14601
51,9170
444,1318
304,12931
37,19327
270,9411
126,5893
90,944
102,5259
466,11950
481,9729
145,1256
278,3965
128,16157
415,5431
364,15898
363,15472
224,8073
51,3145
350,10379
33,8149
209,12901
187,3415
401,7749
12,14187
243,19623
392,2652
416,6840
117,18271
132,7458
363,9304
373,12956
116,2322
268,9365
227,12747
57,5419
159,1082
200,4809
307,6670
229,16568
484,19224
169,9656
27,8852
249,16099
474,15770
301,8127
453,5584
453,1839
259,4321
279,9982
54,17038
325,18292
476,18733
142,13545
297,10612
281,8784
253,4024
106,13228
335,16948
216,8435
417,6241
212,18361
59,4825
265,2203
380,2666
248,7113
344,2494
458,87
163,5376
349,2623
169,13551
94,16325
472,18275
379,6806
37,4116
117,9033
75,19941
85,12581
131,15689
197,19892
213,10501
420,1676
492,8038
7,2116
408,17238
173,600
231,15918
97,997
318,12232
175,19994
375,16139
230,3755
136,6983
322,14190
290,3140
473,14572
35,10523
312,2805
409,4266
30,9246
490,12420
157,9663
151,13273
66,15396
135,2224
109,19871
249,9974
215,13297
315,18593
403,7560
156,14206
398,9842
306,1928
408,11661
353,15132
161,5338
2,14867
458,5648
389,10153
285,13616
103,3501
340,2226
123,8959
104,7263
430,18383
48,6181
79,365
333,3490
221,746
244,12534
76,12610
174,984
219,10238
439,926
110,13336
277,9760
1,13263
409,19328
231,5266
81,11672
348,15156
96,8043
329,2219
65,3550
19,14764
95,12385
394,10030
78,16050
96,10581
33,13074
20,19496
417,13782
134,15105
251,2759
207,10731
108,11433
142,7845
410,8234
224,19515
492,19834
345,10051
367,17126
8,10682
471,15926
33,16859
45,18300
256,17119
474,2665
429,15856
235,1150
310,15838
202,6310
96,4876
107,14587
99,4367
410,6730
179,3791
451,9429
399,5105
378,7496
383,10520
405,9806
151,8004
94,9411
6,17094
353,13056
125,4493
265,6567
51,14238
281,5102
491,12542
281,17381
489,5753
243,66
410,16822
210,11981
474,1362
374,5330
35,7186
217,1589
257,1349
484,12706
24,18401
452,7298
418,2561
376,15577
139,4483
411,15882
133,9339
272,19454
305,18029
277,3898
196,18325
355,18072
121,10000
257,9598
87,13664
94,12206
369,666
150,2520
64,18364
497,10622
414,11877
206,11407
245,14022
52,753
284,5328
267,16949
121,8491
220,18652
26,19820
1,12336
449,19820
177,10689
129,11668
337,12607
383,6552
419,6357
164,5011
167,5974
216,2469
163,18914
281,6110
196,16840
473,3141
354,1720
479,10393
329,13964
69,11168
23,14040
193,17955
22,6360
324,12666
467,1695
87,13409
163,4080
449,12524
118,10396
330,6775
246,6302
340,4329
108,9594
94,19909
29,587
